id,source,name,address,place_type,price_level,user_rating_google,user_rating_yelp,avg_user_rating,latitude,longitude,nearest_metro_station_name,nearest_metro_distance_meters,nearest_metro_route_codes,detail_url
Q57M1_Jv5SPVG6s_juOsIQ,yelp,Kissaten Corazon,"1640 N Spring St, Los Angeles, CA",cafe,2,,4.4,4.4,34.06915,-118.227682,Main / Wilhardt,224.6,76,https://www.yelp.com/biz/kissaten-corazon-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
8Xvh8pTRWfSYmdkrrjdT7A,yelp,Cofilia,"810 East Pico Blvd, Los Angeles, CA",cafe,,,4.4,4.4,34.031089,-118.251225,San Pedro / Pico,301.8,51,https://www.yelp.com/biz/cofilia-los-angeles?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
ucc8WYqy0xW6-cQG-lf2ug,yelp,Turn Dough,"215 Broadway, Santa Monica, CA",cafe,2,,4.4,4.4,34.01399154206947,-118.4953146,Broadway / Ocean,152.9,4,https://www.yelp.com/biz/turn-dough-santa-monica?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
Sh60EepbkE37sz0EvBvNiw,yelp,Bubble Puff & Tea,"1543 E Colorado Blvd, Pasadena, CA",cafe,1,,4.4,4.4,34.14627444412603,-118.1185732905998,Woodward / Garfield,5478.1,78,https://www.yelp.com/biz/bubble-puff-and-tea-pasadena-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
MRI4zwq_7Bj_TglM-0q3eg,yelp,Asayoru Maid Cafe,"500 N Atlantic Blvd, Monterey Park, CA",cafe,2,,4.4,4.4,34.06732876231943,-118.13416142016648,Garvey / Atlantic,552.1,70,https://www.yelp.com/biz/asayoru-maid-cafe-monterey-park-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
-KMO56JzXhZFaoEXTPnY1Q,yelp,Odd One Out Tea Pasadena,"14 S Fair Oaks Ave, Pasadena, CA",cafe,2,,4.4,4.4,34.14549,-118.15027,Main / Fremont,5567.0,78,https://www.yelp.com/biz/odd-one-out-tea-pasadena-pasadena?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
Hs0ik19dLbGNPl6AWjtdCQ,yelp,Tea N' Me,"2256 Colorado Blvd, Los Angeles, CA",cafe,2,,4.4,4.4,34.1390676394409,-118.215459592365,Huntington / Monterey,6437.9,78,https://www.yelp.com/biz/tea-n-me-los-angeles-3?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
I8dXLZjUE4a2P5V4VTfDnw,yelp,Acai bar ,"1351 N Hill Ave, Pasadena, CA",cafe,2,,4.4,4.4,34.16942817,-118.121655,Woodward / Garfield,8002.5,78,https://www.yelp.com/biz/acai-bar-pasadena-5?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
25oxfardikMvieI3LW6dMA,yelp,Le Cafe Creme,"350 S Lake Ave, Pasadena, CA",cafe,1,,4.4,4.4,34.1396939,-118.1321151,Woodward / Garfield,4686.1,78,https://www.yelp.com/biz/le-cafe-creme-pasadena?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
Nyn_gUayphbcf6Ckm-Accg,yelp,Arcane Maid Cafe,"171 Live Oak Ave, Arcadia, CA",cafe,2,,4.4,4.4,34.10857304396374,-118.0250586,Valley / Santa Anita,3870.3,76,https://www.yelp.com/biz/arcane-maid-cafe-arcadia?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
HoAft-c-jL1o8C829PaPjA,yelp,Tea Station,"4620 Del Amo Blvd, Torrance, CA",cafe,1,,4.4,4.4,33.84798448452832,-118.3632654,Hawthorne / Del Amo,867.3,344,https://www.yelp.com/biz/tea-station-torrance-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
Y5MWCo3CAMP5wcLO-5NBpQ,yelp,7-Eleven,"1535 Aviation Blvd, Redondo Beach, CA",cafe,1,,4.4,4.4,33.8689512605133,-118.383074775338,Pacific Coast Highway / 16th,987.8,232,https://www.yelp.com/biz/7-eleven-redondo-beach-2?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
s-wTFMd54i-iyBq0jU-maQ,yelp,Chagee Modern Teahouse,"14006 Riverside Dr, San Fernando Valley, CA",cafe,,,4.4,4.4,34.156651223139626,-118.43645341615397,Ventura / Hazeltine,843.0,240,https://www.yelp.com/biz/chagee-modern-teahouse-san-fernando-valley-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
rGuK2emXKBW_RzwH6ABQ2A,yelp,Bubble U,"843 N Broadway, Los Angeles, CA",cafe,2,,4.4,4.4,34.06356744402004,-118.23784696570556,Broadway / College,54.1,45,https://www.yelp.com/biz/bubble-u-los-angeles-4?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
2yfe7xA0fQgrEHlkzPZN4A,yelp,Elada's Corner,"106 N Glendale Ave, Glendale, CA",cafe,,,4.4,4.4,34.146678,-118.246788,Hollywood / New Hampshire Layover,6526.9,217,https://www.yelp.com/biz/eladas-corner-glendale?adjust_creative=85PVB_CXUayFuBfpSaKuwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=85PVB_CXUayFuBfpSaKuwQ
ChIJy4RMgUvGwoARxcVCshVZCwk,google,Go Get Em Tiger,"317 S Broadway, Los Angeles, CA 90013, USA",cafe,1,4.3,,4.3,34.051052,-118.2493274,Hill / 3rd,49.9,4,https://www.google.com/maps/place/?q=place_id:ChIJy4RMgUvGwoARxcVCshVZCwk
ChIJiemsQpu4woARhhGxdSqdOVw,google,Mr. BOBA,"3805 W 6th St, Los Angeles, CA 90020, USA",cafe,1,4.3,,4.3,34.0638611,-118.3057028,Wilshire / Serrano,233.6,20,https://www.google.com/maps/place/?q=place_id:ChIJiemsQpu4woARhhGxdSqdOVw
ChIJ4ZdKqYHHwoAR2UA9Ckw63rc,google,It's Boba Time Dewey,"2848 W Olympic Blvd, Los Angeles, CA 90006, USA",cafe,1,4.3,,4.3,34.0525129,-118.2961411,Olympic / Catalina,114.0,28,https://www.google.com/maps/place/?q=place_id:ChIJ4ZdKqYHHwoAR2UA9Ckw63rc
ChIJVQkvx5q4woARlyoQqGPD4V4,google,Paris Baguette,"621 S Western Ave, Los Angeles, CA 90005, USA",cafe,2,4.3,,4.3,34.0627168,-118.3093798,Western / Wilshire,84.4,66,https://www.google.com/maps/place/?q=place_id:ChIJVQkvx5q4woARlyoQqGPD4V4
ChIJLfxfbYLHwoARw4p27tu7Phk,google,O2 COFFEE,"915 Vermont Ave #1/2, Los Angeles, CA 90006, USA",cafe,1,4.3,,4.3,34.0552438,-118.292117,Vermont / James M Wood,84.3,204,https://www.google.com/maps/place/?q=place_id:ChIJLfxfbYLHwoARw4p27tu7Phk
ChIJV-f1scm5woAR4ns_GeYhnys,google,Concerto Coffee,"3525 W 8th St Unit 102, Los Angeles, CA 90005, USA",cafe,,4.3,,4.3,34.0578013,-118.3067693,8th / Serrano,25.0,66,https://www.google.com/maps/place/?q=place_id:ChIJV-f1scm5woAR4ns_GeYhnys
ChIJ0QxBk86-woARHbloeislERs,google,Coffee Commissary,"801 N Fairfax Ave, Los Angeles, CA 90046, USA",cafe,2,4.3,,4.3,34.0860227,-118.361672,Fairfax / Willoughby,104.4,217,https://www.google.com/maps/place/?q=place_id:ChIJ0QxBk86-woARHbloeislERs
ChIJPf5utOG_woARY589yJuxZ-I,google,Community Goods,"710 N Edinburgh Ave, Los Angeles, CA 90046, USA",cafe,2,4.3,,4.3,34.0841573,-118.3635933,Fairfax / Melrose,195.9,217,https://www.google.com/maps/place/?q=place_id:ChIJPf5utOG_woARY589yJuxZ-I
ChIJ18hNmci_woARvdCGWBc97L8,google,Olive and James Cafe Tea - Melrose,"7473 Melrose Ave, Los Angeles, CA 90046, USA",cafe,,4.3,,4.3,34.0837509,-118.3530268,Fairfax / Melrose,761.0,217,https://www.google.com/maps/place/?q=place_id:ChIJ18hNmci_woARvdCGWBc97L8
ChIJndJaPty-woARe1S615fCnCU,google,Blackwood Coffee Bar,"7509 Sunset Blvd, Los Angeles, CA 90046, USA",cafe,2,4.3,,4.3,34.098343,-118.3532629,Sunset / Gardner,53.8,2,https://www.google.com/maps/place/?q=place_id:ChIJndJaPty-woARe1S615fCnCU
ChIJ-7iLVCm6woARAe9XpIn-pGA,google,The Coffee Bean & Tea Leaf,"9829 Venice Blvd., Los Angeles, CA 90034, USA",cafe,1,4.3,,4.3,34.023898,-118.3986835,Venice / Hughes,34.0,33,https://www.google.com/maps/place/?q=place_id:ChIJ-7iLVCm6woARAe9XpIn-pGA
ChIJ-_WVism7woARtFM-6MzTdPA,google,Go Get Em Tiger,"10000 Washington Blvd #103, Culver City, CA 90232, USA",cafe,2,4.3,,4.3,34.0205798,-118.3976349,Venice / Hughes,300.8,33,https://www.google.com/maps/place/?q=place_id:ChIJ-_WVism7woARtFM-6MzTdPA
ChIJcTixHgC7woARJM5NMj4F2Oo,google,Caffe Luxxe,"9718 Washington Blvd, Culver City, CA 90232, USA",cafe,,4.3,,4.3,34.0222305,-118.3961341,Venice / Hughes,262.5,33,https://www.google.com/maps/place/?q=place_id:ChIJcTixHgC7woARJM5NMj4F2Oo
